Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2006,Flyboys,17.101,640,below_avg,Drama
2006,Flyboys,17.101,640,below_avg,History
2006,Flyboys,17.101,640,below_avg,Romance
2006,Flyboys,17.101,640,below_avg,War
2021,Overrun,17.098,3,not_popular,Action
1996,Jack,17.098,989,below_avg,Family
1996,Jack,17.098,989,below_avg,Comedy
1996,Jack,17.098,989,below_avg,Drama
1938,Ferdinand the Bull,17.096,116,below_avg,Animation
1938,Ferdinand the Bull,17.096,116,below_avg,Comedy
1938,Ferdinand the Bull,17.096,116,below_avg,Family
2016,Demolition,17.095,1662,Average,Comedy
2016,Demolition,17.095,1662,Average,Drama
2000,Crocodile,17.095,121,not_popular,Horror
2000,Crocodile,17.095,121,not_popular,Action
2000,Crocodile,17.095,121,not_popular,Thriller
2008,Street Kings,17.091,1078,Average,Action
2008,Street Kings,17.091,1078,Average,Crime
2008,Street Kings,17.091,1078,Average,Drama
2008,Street Kings,17.091,1078,Average,Thriller
2016,Friend Request,17.09,1074,not_popular,Horror
2016,Friend Request,17.09,1074,not_popular,Thriller
2015,Antigang,17.089,267,not_popular,Action
2015,Antigang,17.089,267,not_popular,Drama
1994,My Girl 2,17.089,361,not_popular,Comedy
1994,My Girl 2,17.089,361,not_popular,Family
2018,Boy Erased,17.088,1138,Average,Drama
2005,The Mistress of Spices,17.086,117,below_avg,Drama
2005,The Mistress of Spices,17.086,117,below_avg,Romance
2005,The Mistress of Spices,17.086,117,below_avg,Fantasy
2014,Mockingbird,17.08,113,not_popular,Horror
2014,Mockingbird,17.08,113,not_popular,Thriller
2018,Chappaquiddick,17.076,211,below_avg,History
2018,Chappaquiddick,17.076,211,below_avg,Drama
2018,Chappaquiddick,17.076,211,below_avg,Thriller
2020,Charm City Kings,17.074,286,Popular,Drama
2014,The Opposite Sex,17.073,32,not_popular,Comedy
2018,The Snow Queen: Mirror Lands,17.068,54,Popular,Family
2018,The Snow Queen: Mirror Lands,17.068,54,Popular,Animation
2018,The Snow Queen: Mirror Lands,17.068,54,Popular,Adventure
2018,The Snow Queen: Mirror Lands,17.068,54,Popular,Comedy
2018,The Snow Queen: Mirror Lands,17.068,54,Popular,Fantasy
2008,The Brothers Bloom,17.067,475,Average,Adventure
2008,The Brothers Bloom,17.067,475,Average,Comedy
2008,The Brothers Bloom,17.067,475,Average,Drama
2008,The Brothers Bloom,17.067,475,Average,Romance
1998,Shakespeare in Love,17.065,2533,Average,Romance
1998,Shakespeare in Love,17.065,2533,Average,History
1998,Shakespeare in Love,17.065,2533,Average,Comedy
2006,Deck the Halls,17.064,479,not_popular,Comedy
2006,Deck the Halls,17.064,479,not_popular,Family
1961,Murder She Said,17.064,136,Popular,Comedy
1961,Murder She Said,17.064,136,Popular,Crime
1961,Murder She Said,17.064,136,Popular,Drama
1961,Murder She Said,17.064,136,Popular,Mystery
2020,Hubie Halloween,17.063,1195,below_avg,Comedy
2020,Hubie Halloween,17.063,1195,below_avg,Mystery
2020,Hubie Halloween,17.063,1195,below_avg,Horror
1992,Wayne's World,17.063,1747,Average,Comedy
1992,Wayne's World,17.063,1747,Average,Music
1967,The Fearless Vampire Killers,17.061,532,Average,Comedy
1967,The Fearless Vampire Killers,17.061,532,Average,Horror
2016,The Red Thread,17.059,121,below_avg,Drama
2016,The Red Thread,17.059,121,below_avg,Romance
2005,Crash,17.057,2786,Popular,Drama
1983,Psycho II,17.056,461,below_avg,Horror
1983,Psycho II,17.056,461,below_avg,Mystery
1983,Psycho II,17.056,461,below_avg,Thriller
2018,The Last Warrior,17.055,92,below_avg,Action
2018,The Last Warrior,17.055,92,below_avg,Drama
2018,The Last Warrior,17.055,92,below_avg,Fantasy
2018,The Last Warrior,17.055,92,below_avg,History
2018,The Last Warrior,17.055,92,below_avg,Adventure
1975,Dog Day Afternoon,17.055,2233,Popular,Crime
1975,Dog Day Afternoon,17.055,2233,Popular,Drama
1975,Dog Day Afternoon,17.055,2233,Popular,Thriller
2019,I'm No Longer Here,17.052,357,Popular,Drama
1997,"Honey, We Shrunk Ourselves",17.049,524,not_popular,Adventure
1997,"Honey, We Shrunk Ourselves",17.049,524,not_popular,Comedy
1997,"Honey, We Shrunk Ourselves",17.049,524,not_popular,Family
1997,"Honey, We Shrunk Ourselves",17.049,524,not_popular,Science Fiction
1997,"Honey, We Shrunk Ourselves",17.049,524,not_popular,Action
1995,French Kiss,17.043,570,below_avg,Comedy
1995,French Kiss,17.043,570,below_avg,Romance
2012,The Courier,17.04,90,not_popular,Action
2012,The Courier,17.04,90,not_popular,Crime
1968,Romeo and Juliet,17.039,506,Popular,Drama
1968,Romeo and Juliet,17.039,506,Popular,Romance
2006,Unaccompanied Minors,17.037,241,below_avg,Comedy
2006,Unaccompanied Minors,17.037,241,below_avg,Family
2002,Analyze That,17.036,972,not_popular,Comedy
2002,Analyze That,17.036,972,not_popular,Crime
1984,Streets of Fire,17.035,337,Average,Action
2013,Inside Llewyn Davis,17.034,2151,Popular,Drama
2013,Inside Llewyn Davis,17.034,2151,Popular,Music
2016,Manhattan Night,17.032,318,below_avg,Drama
2016,Manhattan Night,17.032,318,below_avg,Mystery
